地区名: 稲村ガ崎, 燃やすごみ: 月・木, 容器包装プラスチック: 火, ペットボトル: 水, 飲食用カン・ビン: 火, 紙類・布類: 金, 植木剪定材: 水, 製品プラスチック: 第2金曜日, 燃えないごみ・危険有害ごみ: 第3金曜日
地区名: 今泉, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 火, 紙類・布類: 金, 植木剪定材: 水, 製品プラスチック: 第2火曜日, 燃えないごみ・危険有害ごみ: 第4火曜日
地区名: 今泉台, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 火, 紙類・布類: 金, 植木剪定材: 水, 製品プラスチック: 第2火曜日, 燃えないごみ・危険有害ごみ: 第4火曜日
地区名: 岩瀬, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 火, 紙類・布類: 金, 植木剪定材: 水, 製品プラスチック: 第4火曜日, 燃えないごみ・危険有害ごみ: 第2火曜日
地区名: 植木, 燃やすごみ: 火・金, 容器包装プラスチック: 木, ペットボトル: 水, 飲食用カン・ビン: 月, 紙類・布類: 水, 植木剪定材: 月, 製品プラスチック: 第1金曜日, 燃えないごみ・危険有害ごみ: 第2木曜日
地区名: 扇ガ谷, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第4火曜日, 燃えないごみ・危険有害ごみ: 第2火曜日
地区名: 大船, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 火, 紙類・布類: 金, 植木剪定材: 水, 製品プラスチック: 第1火曜日, 燃えないごみ・危険有害ごみ: 第3火曜日
地区名: 大船（六丁目）, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 火, 紙類・布類: 金, 植木剪定材: 水, 製品プラスチック: 第4火曜日, 燃えないごみ・危険有害ごみ: 第2火曜日
地区名: 大町, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第2火曜日, 燃えないごみ・危険有害ごみ: 第3火曜日
地区名: 岡本, 燃やすごみ: 火・金, 容器包装プラスチック: 木, ペットボトル: 水, 飲食用カン・ビン: 月, 紙類・布類: 水, 植木剪定材: 月, 製品プラスチック: 第1金曜日, 燃えないごみ・危険有害ごみ: 第1木曜日
地区名: 御成町, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第4火曜日, 燃えないごみ・危険有害ごみ: 第2火曜日
地区名: 梶原, 燃やすごみ: 火・金, 容器包装プラスチック: 木, ペットボトル: 水, 飲食用カン・ビン: 木, 紙類・布類: 月, 植木剪定材: 月, 製品プラスチック: 第4水曜日, 燃えないごみ・危険有害ごみ: 第2水曜日
地区名: 鎌倉山, 燃やすごみ: 火・金, 容器包装プラスチック: 木, ペットボトル: 水, 飲食用カン・ビン: 木, 紙類・布類: 月, 植木剪定材: 月, 製品プラスチック: 第3水曜日, 燃えないごみ・危険有害ごみ: 第1水曜日
地区名: 上町屋, 燃やすごみ: 火・金, 容器包装プラスチック: 木, ペットボトル: 水, 飲食用カン・ビン: 木, 紙類・布類: 月, 植木剪定材: 月, 製品プラスチック: 第3水曜日, 燃えないごみ・危険有害ごみ: 第1水曜日
地区名: 極楽寺, 燃やすごみ: 月・木, 容器包装プラスチック: 火, ペットボトル: 水, 飲食用カン・ビン: 火, 紙類・布類: 金, 植木剪定材: 水, 製品プラスチック: 第2金曜日, 燃えないごみ・危険有害ごみ: 第3金曜日
地区名: 腰越（一丁目〜三丁目）, 燃やすごみ: 月・木, 容器包装プラスチック: 火, ペットボトル: 水, 飲食用カン・ビン: 火, 紙類・布類: 金, 植木剪定材: 水, 製品プラスチック: 第2金曜日, 燃えないごみ・危険有害ごみ: 第3金曜日
地区名: 腰越（四丁目・五丁目）, 燃やすごみ: 月・木, 容器包装プラスチック: 火, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第2金曜日, 燃えないごみ・危険有害ごみ: 第3金曜日
地区名: 小町, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第2火曜日, 燃えないごみ・危険有害ごみ: 第3火曜日
地区名: 材木座, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第2火曜日, 燃えないごみ・危険有害ごみ: 第3火曜日
地区名: 坂ノ下, 燃やすごみ: 月・木, 容器包装プラスチック: 火, ペットボトル: 水, 飲食用カン・ビン: 火, 紙類・布類: 金, 植木剪定材: 水, 製品プラスチック: 第2金曜日, 燃えないごみ・危険有害ごみ: 第3金曜日
地区名: 笹目町, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第4火曜日, 燃えないごみ・危険有害ごみ: 第2火曜日
地区名: 佐助, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第2火曜日, 燃えないごみ・危険有害ごみ: 第3火曜日
地区名: 関谷, 燃やすごみ: 火・金, 容器包装プラスチック: 木, ペットボトル: 水, 飲食用カン・ビン: 月, 紙類・布類: 水, 植木剪定材: 月, 製品プラスチック: 第1金曜日, 燃えないごみ・危険有害ごみ: 第1木曜日
地区名: 城廻, 燃やすごみ: 火・金, 容器包装プラスチック: 木, ペットボトル: 水, 飲食用カン・ビン: 月, 紙類・布類: 水, 植木剪定材: 月, 製品プラスチック: 第1金曜日, 燃えないごみ・危険有害ごみ: 第1木曜日
地区名: 十二所, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第2火曜日, 燃えないごみ・危険有害ごみ: 第3火曜日
地区名: 浄明寺, 燃やすごみ: 月・木, 容器包装プラスチック: 金, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第2火曜日, 燃えないごみ・危険有害ごみ: 第3火曜日
地区名: 七里ガ浜, 燃やすごみ: 月・木, 容器包装プラスチック: 火, ペットボトル: 水, 飲食用カン・ビン: 火, 紙類・布類: 金, 植木剪定材: 水, 製品プラスチック: 第2金曜日, 燃えないごみ・危険有害ごみ: 第3金曜日
地区名: 七里ガ浜東, 燃やすごみ: 月・木, 容器包装プラスチック: 火, ペットボトル: 水, 飲食用カン・ビン: 火, 紙類・布類: 金, 植木剪定材: 水, 製品プラスチック: 第2金曜日, 燃えないごみ・危険有害ごみ: 第3金曜日
地区名: 玉縄, 燃やすごみ: 火・金, 容器包装プラスチック: 木, ペットボトル: 水, 飲食用カン・ビン: 月, 紙類・布類: 水, 植木剪定材: 月, 製品プラスチック: 第1金曜日, 燃えないごみ・危険有害ごみ: 第1木曜日
地区名: 津, 燃やすごみ: 月・木, 容器包装プラスチック: 火, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第2金曜日, 燃えないごみ・危険有害ごみ: 第3金曜日
地区名: 津西, 燃やすごみ: 月・木, 容器包装プラスチック: 火, ペットボトル: 水, 飲食用カン・ビン: 金, 紙類・布類: 火, 植木剪定材: 水, 製品プラスチック: 第2金曜日, 燃えないごみ・危険有害ごみ: 第3金曜日
地区名: 台, 燃やすごみ: 火・金, 容器包装プラスチック: 木, ペットボトル: 水, 飲食用カン・ビン: 月, 紙類・布類: 水, 植木剪定材: 月, 製品プラスチック: 第1金曜日, 燃えないごみ・危険有害ごみ: 第2木曜日
